,Filename,Relfreq_NOUN,RelFreq_VERB,RelFreq_ADJ,RelFreq_ADV,Unique_PER,Unique_LOC,Unique_ORG
0,0103.b5.txt,1739.5779722079258,1070.5095213587235,838.9089037570767,365.4143077714874,38,0,3
1,0140.b5.txt,1403.7347070186734,1023.8248551191242,566.645202833226,495.81455247907274,62,0,2
2,0165.b5.txt,1714.0825035561877,967.2830725462304,668.5633001422475,398.29302987197724,28,0,0
3,0200.b5.txt,1682.2429906542054,996.8847352024922,691.588785046729,523.3644859813085,24,0,7
4,0300.b5.txt,1768.8022284122562,814.7632311977717,752.0891364902507,410.8635097493036,36,1,28
5,0310.b5.txt,1553.1508593252704,1031.1903246339912,795.671546785487,515.5951623169956,16,0,6
6,1003.b5.txt,1519.6078431372548,1127.450980392157,532.2128851540616,420.1680672268908,39,0,12
7,1021.b5.txt,1754.27485750475,1019.632678910703,582.6472450918303,291.32362254591516,23,3,6
8,1023.b5.txt,1369.0476190476193,1232.142857142857,666.6666666666666,589.2857142857142,61,2,3
9,1057.b5.txt,1568.4029765311964,978.8208357183744,795.6496851745851,452.20377790498,38,0,2
10,1100.b5.txt,1756.2724014336916,1089.605734767025,709.6774193548387,336.9175627240143,31,0,4
11,1508.b5.txt,1220.1420271142672,1162.0400258231118,406.71400903808905,432.5371207230471,84,0,19
12,1532.b5.txt,1506.5334358186012,1245.1960030745581,399.69254419677173,330.51498847040733,40,0,1
13,1533.b5.txt,1497.326203208556,1205.2653229123819,481.283422459893,423.6939531057178,66,0,15
14,2019.b5.txt,1374.7054202670856,1139.0416339355852,494.8939512961508,329.9293008641006,34,0,7
15,2028.b5.txt,1312.3209169054442,1340.974212034384,464.18338108882523,383.95415472779365,56,0,38
16,2032.b5.txt,973.1373542828181,1231.6269640141916,527.1160669031931,506.84237202230105,47,3,21
17,2034.b5.txt,1514.6948003014318,957.0459683496608,746.043707611153,437.07611152976637,47,0,6
18,2066.b5.txt,1295.843520782396,1401.792991035045,529.7473512632437,366.7481662591687,56,0,17
19,3018.b5.txt,1462.140992167102,1011.7493472584857,704.9608355091384,528.7206266318537,35,0,27
20,3020.b5.txt,1694.3521594684385,822.2591362126245,789.0365448504983,282.3920265780731,38,0,4
